prompt,attribute,simple_human_smd,weighted_human_smd,model_smd_pooled,amplification,reg_model_z,reg_coef_group,reg_se_group,reg_p_value,reg_n,p_value_bh,significant
"""A Cowboy Who Rode the Waves""",gender,0.2025,0.2025,0.1499,-0.0526,0.0052,0.0023,0.0349,0.9481,684,0.0105,True
"""A Cowboy Who Rode the Waves""",ell_status,0.8659,0.7118,1.0862,0.3743,3.3855,0.2914,0.0325,0.0,683,0.0176,True
"""A Cowboy Who Rode the Waves""",economically_disadvantaged,0.3408,0.2972,0.3887,0.0916,0.2166,0.0913,0.0348,0.0089,684,0.0002,True
"""A Cowboy Who Rode the Waves""",student_disability_status,0.6289,0.6124,0.5294,-0.083,0.1742,0.0205,0.0305,0.5002,684,0.0033,True
"""A Cowboy Who Rode the Waves""",race_black_white,0.3776,0.3439,0.3576,0.0137,0.1478,0.044,0.0417,0.2919,449,0.0033,True
Car-free cities,gender,0.289,0.2706,0.402,0.1314,0.3059,0.1553,0.0347,0.0,976,0.0,True
Car-free cities,ell_status,1.083,0.9792,0.9548,-0.0244,0.7306,0.094,0.0322,0.0036,976,0.0,True
Car-free cities,race_black_white,0.483,0.475,0.4965,0.0216,0.257,0.0965,0.0424,0.0231,649,0.0,True
Cell phones at school,gender,0.3385,0.3269,0.3182,-0.0087,0.1109,0.0514,0.0351,0.1438,827,0.0,True
Cell phones at school,ell_status,0.7489,0.6973,1.0164,0.3191,2.3266,0.2567,0.0264,0.0,827,0.0004,True
Cell phones at school,economically_disadvantaged,0.5576,0.5311,0.617,0.0859,0.291,0.1298,0.0347,0.0002,820,0.0,True
Cell phones at school,student_disability_status,1.0063,0.9431,1.0393,0.0962,1.0196,0.1604,0.0274,0.0,827,0.0,True
Cell phones at school,race_black_white,0.4173,0.4173,0.4757,0.0583,0.3581,0.1184,0.0418,0.0048,538,0.0001,True
Community service,gender,0.3604,0.3741,0.3463,-0.0278,0.1083,0.0446,0.0325,0.1703,774,0.0,True
Community service,ell_status,0.8155,0.7385,1.0216,0.2831,2.0829,0.2173,0.0257,0.0,774,0.0001,True
Community service,economically_disadvantaged,0.4048,0.3992,0.4549,0.0557,0.2475,0.0999,0.0325,0.0022,761,0.0,True
Community service,student_disability_status,0.869,0.8676,0.9602,0.0925,1.4341,0.2077,0.0281,0.0,774,0.0,True
Community service,race_black_white,0.5726,0.5726,0.603,0.0303,0.4094,0.129,0.0412,0.0018,499,0.0,True
Distance learning,gender,0.1328,0.1657,0.1446,-0.0211,0.0211,0.0101,0.0393,0.7977,659,0.0402,False
Distance learning,ell_status,1.6304,1.6281,1.7308,0.1027,0.9296,0.2826,0.038,0.0,659,0.0,True
Distance learning,economically_disadvantaged,0.9251,0.9251,0.929,0.004,0.1825,0.0684,0.0393,0.0822,659,0.0,True
Distance learning,student_disability_status,0.372,0.372,0.4095,0.0375,0.2816,0.0744,0.037,0.0447,659,0.0008,True
Distance learning,race_black_white,0.6354,0.6354,0.659,0.0235,0.2255,0.0841,0.0522,0.1082,343,0.0,True
Does the electoral college work?,gender,0.3293,0.3293,0.3398,0.0104,0.1196,0.0612,0.0734,0.4056,228,0.016,True
Driverless cars,gender,0.3558,0.3376,0.3641,0.0265,0.1527,0.0712,0.0455,0.1182,500,0.0003,True
Driverless cars,economically_disadvantaged,0.252,0.2126,0.6327,0.4202,2.2036,0.3469,0.0428,0.0,500,0.2708,False
Driverless cars,student_disability_status,0.6919,0.5791,0.6436,0.0645,0.5987,0.1053,0.0543,0.053,500,0.0139,True
Driverless cars,race_black_white,0.1981,0.1014,0.2448,0.1434,0.2122,0.0948,0.0582,0.1043,274,0.4172,False
Exploring Venus,gender,0.2548,0.2548,0.2492,-0.0057,0.0715,0.0387,0.0378,0.3063,934,0.0002,True
Exploring Venus,ell_status,0.6905,0.5076,0.8275,0.3198,0.5786,0.2102,0.0357,0.0,931,0.0,True
Exploring Venus,economically_disadvantaged,0.6037,0.6037,0.5903,-0.0134,0.1851,0.0919,0.038,0.0158,934,0.0,True
Exploring Venus,student_disability_status,0.7519,0.7519,0.8212,0.0693,0.4479,0.1895,0.0364,0.0,934,0.0,True
Exploring Venus,race_black_white,0.6627,0.6627,0.6743,0.0116,0.2392,0.0964,0.0461,0.0369,562,0.0,True
Facial action coding system,gender,0.2407,0.2407,0.2379,-0.0027,0.07,0.0347,0.0322,0.2819,1064,0.0001,True
Facial action coding system,ell_status,0.6248,0.5675,0.6564,0.0889,0.3782,0.1196,0.0296,0.0001,1047,0.0,True
Facial action coding system,economically_disadvantaged,0.5335,0.5335,0.5722,0.0387,0.2551,0.1142,0.0324,0.0004,1064,0.0,True
Facial action coding system,student_disability_status,0.7036,0.6447,0.7127,0.068,0.2407,0.0936,0.0303,0.002,1064,0.0,True
Facial action coding system,race_black_white,0.6597,0.6597,0.6962,0.0365,0.3114,0.1289,0.0405,0.0015,638,0.0,True
Grades for extracurricular activities,gender,0.3753,0.3893,0.3986,0.0093,0.1914,0.0851,0.0339,0.0124,811,0.0,True
Grades for extracurricular activities,ell_status,0.7265,0.6834,0.9678,0.2843,2.1622,0.2618,0.0289,0.0,811,0.0001,True
Grades for extracurricular activities,economically_disadvantaged,0.5411,0.5364,0.6693,0.1329,0.4219,0.1796,0.0341,0.0,799,0.0,True
Grades for extracurricular activities,student_disability_status,0.6599,0.6137,0.5375,-0.0763,0.1957,0.0288,0.0306,0.3484,811,0.0,True
Grades for extracurricular activities,race_black_white,0.5067,0.4148,0.7223,0.3074,0.7198,0.2337,0.0406,0.0,539,0.0001,True
Mandatory extracurricular activities,gender,0.3534,0.3627,0.4374,0.0747,0.2851,0.1289,0.0342,0.0002,831,0.0,True
Mandatory extracurricular activities,ell_status,1.0476,1.0017,1.1091,0.1074,1.0689,0.1937,0.0334,0.0,831,0.0,True
Mandatory extracurricular activities,economically_disadvantaged,0.726,0.7201,0.8363,0.1162,0.5717,0.209,0.0337,0.0,831,0.0,True
Mandatory extracurricular activities,student_disability_status,0.5248,0.5305,0.5678,0.0372,0.4264,0.1212,0.0346,0.0005,831,0.0,True
Mandatory extracurricular activities,race_black_white,0.4928,0.479,0.5423,0.0633,0.2883,0.1084,0.0453,0.017,527,0.0,True
Phones and driving,gender,0.1344,0.1236,0.2199,0.0962,0.226,0.0957,0.0445,0.0321,467,0.2053,False
Phones and driving,race_black_white,-0.166,-0.1814,-0.2178,0.0364,-0.2181,-0.0734,0.0532,0.1686,334,0.1564,False
Summer projects,gender,0.2836,0.2836,0.2825,-0.0011,0.0874,0.0447,0.0365,0.2214,875,0.0001,True
Summer projects,ell_status,1.2589,1.0731,1.3133,0.2401,2.0422,0.2842,0.0379,0.0,875,0.0,True
Summer projects,economically_disadvantaged,0.4873,0.4873,0.555,0.0677,0.3394,0.1521,0.0377,0.0001,875,0.0,True
Summer projects,student_disability_status,0.6188,0.6188,0.5795,-0.0393,0.2344,0.0576,0.0382,0.1314,875,0.0,True
Summer projects,race_black_white,0.5858,0.5766,0.7352,0.1587,0.5723,0.2705,0.0489,0.0,554,0.0,True
The Face on Mars,gender,0.1364,0.1364,0.1967,0.0603,0.1759,0.0817,0.0361,0.0242,764,0.0669,False
The Face on Mars,ell_status,-0.0324,-0.1484,0.4423,0.2938,4.3452,0.3202,0.033,0.0,759,0.658,False
The Face on Mars,economically_disadvantaged,0.3227,0.3227,0.4382,0.1155,0.3312,0.1526,0.036,0.0,764,0.0,True
The Face on Mars,student_disability_status,0.4309,0.3245,0.3675,0.0431,0.4101,0.0469,0.0337,0.1647,764,0.0945,False
The Face on Mars,race_black_white,0.8756,0.8523,0.873,0.0207,0.3454,0.117,0.0422,0.0057,498,0.0,True
